Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 1000 , 100 , Zeros , 172032 , 00:00:5.837 , 0.006 , 0.00937 , 0.003 , 0.298 , 0 , 0.005 , -3.15E-7
2 , 1000 , 100 , Zeros , 172032 , 00:00:6.541 , 0.007 , 0.0104 , 0.004 , 0.325 , 0 , 0.006 , 1.76E-6
3 , 1000 , 100 , Zeros , 172032 , 00:00:6.619 , 0.007 , 0.0104 , 0.003 , 0.293 , 0 , 0.006 , 2.59E-6
4 , 1000 , 100 , Zeros , 172032 , 00:00:6.232 , 0.006 , 0.00932 , 0.004 , 0.295 , 0 , 0.006 , 4.78E-7
5 , 1000 , 100 , Zeros , 172032 , 00:00:7.02 , 0.007 , 0.013 , 0.004 , 0.312 , 0 , 0.006 , 2.05E-6
6 , 1000 , 100 , Zeros , 172032 , 00:00:6.267 , 0.006 , 0.014 , 0.004 , 0.441 , 0 , 0.005 , 5.42E-7
7 , 1000 , 100 , Zeros , 172032 , 00:00:6.639 , 0.007 , 0.00992 , 0.004 , 0.289 , 0 , 0.006 , -4.08E-8
8 , 1000 , 100 , Zeros , 172032 , 00:00:14.666 , 0.015 , 0.0113 , 0.009 , 0.273 , 0 , 0.013 , 6.98E-7
9 , 1000 , 100 , Zeros , 172032 , 00:00:13.985 , 0.014 , 0.0146 , 0.009 , 0.311 , 0 , 0.012 , 2.66E-6
10 , 1000 , 100 , Zeros , 172032 , 00:00:13.925 , 0.014 , 0.0133 , 0.01 , 0.259 , 0 , 0.012 , 4.55E-6
11 , 1000 , 100 , Zeros , 172032 , 00:00:14.263 , 0.014 , 0.0108 , 0.01 , 0.247 , 0 , 0.012 , 1.22E-6
12 , 1000 , 100 , Zeros , 172032 , 00:00:13.851 , 0.014 , 0.0105 , 0.01 , 0.253 , 0 , 0.013 , 1.73E-6
13 , 1000 , 100 , Zeros , 172032 , 00:00:14.315 , 0.014 , 0.00953 , 0.009 , 0.239 , 0 , 0.013 , 3.33E-6
14 , 1000 , 100 , Zeros , 172032 , 00:00:13.964 , 0.014 , 0.0102 , 0.009 , 0.296 , 0 , 0.013 , 1.96E-6
15 , 1000 , 100 , Zeros , 172032 , 00:00:14.184 , 0.014 , 0.011 , 0.01 , 0.259 , 0 , 0.013 , 4.41E-6
16 , 1000 , 100 , Zeros , 172032 , 00:00:14.49 , 0.014 , 0.0109 , 0.01 , 0.228 , 0 , 0.012 , -3.22E-7
17 , 1000 , 100 , Zeros , 172032 , 00:00:14.173 , 0.014 , 0.0121 , 0.01 , 0.248 , 0 , 0.012 , -1.23E-5
18 , 1000 , 100 , Zeros , 172032 , 00:00:14.207 , 0.014 , 0.0107 , 0.009 , 0.253 , 0 , 0.013 , -2.29E-7
19 , 1000 , 100 , Zeros , 172032 , 00:00:14.182 , 0.014 , 0.0089 , 0.01 , 0.151 , 0 , 0.012 , -6.29E-6
20 , 1000 , 100 , Zeros , 172032 , 00:00:14.355 , 0.014 , 0.0123 , 0.01 , 0.246 , 0 , 0.013 , 4.07E-6
21 , 1000 , 100 , Zeros , 172032 , 00:00:13.936 , 0.014 , 0.00972 , 0.01 , 0.237 , 0 , 0.013 , 1.9E-6
22 , 1000 , 100 , Zeros , 172032 , 00:00:13.978 , 0.014 , 0.00769 , 0.01 , 0.134 , 0 , 0.013 , 1.98E-6
23 , 1000 , 100 , Zeros , 172032 , 00:00:14.172 , 0.014 , 0.00917 , 0.009 , 0.24 , 0 , 0.013 , 4.38E-6
24 , 1000 , 100 , Zeros , 172032 , 00:00:14.04 , 0.014 , 0.00977 , 0.01 , 0.237 , 0 , 0.013 , 4.78E-6
25 , 1000 , 100 , Zeros , 172032 , 00:00:13.861 , 0.014 , 0.0105 , 0.01 , 0.254 , 0 , 0.013 , 3.08E-6
26 , 1000 , 100 , Zeros , 172032 , 00:00:13.926 , 0.014 , 0.00935 , 0.01 , 0.254 , 0 , 0.013 , 3.22E-6
27 , 1000 , 100 , Zeros , 172032 , 00:00:15.225 , 0.015 , 0.0113 , 0.008 , 0.259 , 0 , 0.014 , 2.48E-6
28 , 1000 , 100 , Zeros , 172032 , 00:00:14.858 , 0.015 , 0.00998 , 0.01 , 0.206 , 0 , 0.013 , 4.42E-6
29 , 1000 , 100 , Zeros , 172032 , 00:00:14.918 , 0.015 , 0.0114 , 0.01 , 0.241 , 0 , 0.013 , -7.16E-7
30 , 1000 , 100 , Zeros , 172032 , 00:00:15.312 , 0.015 , 0.011 , 0.01 , 0.248 , 0 , 0.013 , -1.14E-8
31 , 1000 , 100 , Zeros , 172032 , 00:00:15.477 , 0.015 , 0.00964 , 0.011 , 0.225 , 0 , 0.014 , 9.82E-7
32 , 1000 , 100 , Zeros , 172032 , 00:00:14.493 , 0.014 , 0.0116 , 0.01 , 0.226 , 0 , 0.013 , 3.02E-6
33 , 1000 , 100 , Zeros , 172032 , 00:00:14.202 , 0.014 , 0.00768 , 0.01 , 0.168 , 0 , 0.013 , 1.1E-6
34 , 1000 , 100 , Zeros , 172032 , 00:00:13.805 , 0.014 , 0.0103 , 0.009 , 0.297 , 0 , 0.013 , 3.03E-7
35 , 1000 , 100 , Zeros , 172032 , 00:00:14.124 , 0.014 , 0.00746 , 0.01 , 0.161 , 0 , 0.013 , 3.62E-6
36 , 1000 , 100 , Zeros , 172032 , 00:00:14.953 , 0.015 , 0.0109 , 0.011 , 0.238 , 0 , 0.014 , 5.98E-7
37 , 1000 , 100 , Zeros , 172032 , 00:00:15.567 , 0.016 , 0.0103 , 0.01 , 0.214 , 0 , 0.013 , 6.5E-6
38 , 1000 , 100 , Zeros , 172032 , 00:00:14.971 , 0.015 , 0.011 , 0.011 , 0.236 , 0 , 0.014 , -4.7E-6
39 , 1000 , 100 , Zeros , 172032 , 00:00:15.027 , 0.015 , 0.0117 , 0.01 , 0.236 , 0 , 0.013 , 3.43E-6
40 , 1000 , 100 , Zeros , 172032 , 00:00:13.803 , 0.014 , 0.00988 , 0.01 , 0.234 , 0 , 0.012 , 2.97E-7
41 , 1000 , 100 , Zeros , 172032 , 00:00:13.922 , 0.014 , 0.00911 , 0.009 , 0.183 , 0 , 0.013 , 4.54E-6
42 , 1000 , 100 , Zeros , 172032 , 00:00:13.692 , 0.014 , 0.00984 , 0.009 , 0.24 , 0 , 0.013 , 8.28E-8
43 , 1000 , 100 , Zeros , 172032 , 00:00:13.92 , 0.014 , 0.00911 , 0.01 , 0.216 , 0 , 0.013 , -2.14E-6
44 , 1000 , 100 , Zeros , 172032 , 00:00:14.767 , 0.015 , 0.00982 , 0.008 , 0.183 , 0 , 0.013 , -3.78E-6
45 , 1000 , 100 , Zeros , 172032 , 00:00:14.644 , 0.015 , 0.0111 , 0.01 , 0.233 , 0 , 0.013 , 1.31E-6
46 , 1000 , 100 , Zeros , 172032 , 00:00:14.579 , 0.015 , 0.00992 , 0.01 , 0.224 , 0 , 0.013 , 3.85E-6
