Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 1000 , 100 , Random , 172032 , 00:00:5.963 , 0.006 , 0.00649 , 0.003 , 0.205 , 0 , 0.005 , 1.94E-6
2 , 1000 , 100 , Random , 172032 , 00:00:5.765 , 0.006 , 0.00586 , 0.004 , 0.185 , 0 , 0.005 , 1.54E-6
3 , 1000 , 100 , Random , 172032 , 00:00:6.265 , 0.006 , 0.0086 , 0.004 , 0.273 , 0 , 0.005 , 5.4E-7
4 , 1000 , 100 , Random , 172032 , 00:00:6.214 , 0.006 , 0.00491 , 0.003 , 0.148 , 0 , 0.005 , 4.4E-7
5 , 1000 , 100 , Random , 172032 , 00:00:6.263 , 0.006 , 0.00297 , 0.004 , 0.062 , 0 , 0.005 , -2.8E-6
6 , 1000 , 100 , Random , 172032 , 00:00:6.322 , 0.006 , 0.00732 , 0.004 , 0.216 , 0 , 0.005 , 1.33E-6
7 , 1000 , 100 , Random , 172032 , 00:00:6.163 , 0.006 , 0.00768 , 0.004 , 0.226 , 0 , 0.005 , -3.31E-7
8 , 1000 , 100 , Random , 172032 , 00:00:6.25 , 0.006 , 0.00463 , 0.003 , 0.097 , 0 , 0.005 , 5.12E-7
9 , 1000 , 100 , Random , 172032 , 00:00:7.062 , 0.007 , 0.0111 , 0.004 , 0.256 , 0 , 0.006 , 2.81E-6
10 , 1000 , 100 , Random , 172032 , 00:00:6.789 , 0.007 , 0.00964 , 0.004 , 0.255 , 0 , 0.006 , -4.11E-7
11 , 1000 , 100 , Random , 172032 , 00:00:6.697 , 0.007 , 0.00977 , 0.004 , 0.309 , 0 , 0.006 , 4.08E-6
12 , 1000 , 100 , Random , 172032 , 00:00:6.825 , 0.007 , 0.00651 , 0.004 , 0.133 , 0 , 0.006 , 2.33E-6
13 , 1000 , 100 , Random , 172032 , 00:00:6.411 , 0.006 , 0.00605 , 0.003 , 0.163 , 0 , 0.005 , -1.84E-6
14 , 1000 , 100 , Random , 172032 , 00:00:11.775 , 0.012 , 0.00879 , 0.004 , 0.177 , 0 , 0.013 , 1.03E-5
15 , 1000 , 100 , Random , 172032 , 00:00:14.187 , 0.014 , 0.00954 , 0.009 , 0.193 , 0 , 0.013 , 3.74E-6
16 , 1000 , 100 , Random , 172032 , 00:00:14.544 , 0.015 , 0.0112 , 0.009 , 0.22 , 0 , 0.013 , 1.78E-6
17 , 1000 , 100 , Random , 172032 , 00:00:14.374 , 0.014 , 0.00904 , 0.01 , 0.226 , 0 , 0.013 , 4.11E-6
18 , 1000 , 100 , Random , 172032 , 00:00:14.573 , 0.015 , 0.00835 , 0.008 , 0.163 , 0 , 0.013 , 5.12E-7
19 , 1000 , 100 , Random , 172032 , 00:00:14.398 , 0.014 , 0.00907 , 0.009 , 0.203 , 0 , 0.013 , 1.55E-7
20 , 1000 , 100 , Random , 172032 , 00:00:14.276 , 0.014 , 0.00936 , 0.01 , 0.197 , 0 , 0.013 , 1.92E-6
21 , 1000 , 100 , Random , 172032 , 00:00:14.239 , 0.014 , 0.0083 , 0.009 , 0.221 , 0 , 0.013 , -8.25E-7
22 , 1000 , 100 , Random , 172032 , 00:00:14.032 , 0.014 , 0.00933 , 0.009 , 0.217 , 0 , 0.013 , 8.83E-8
23 , 1000 , 100 , Random , 172032 , 00:00:14.768 , 0.015 , 0.0118 , 0.01 , 0.258 , 0 , 0.013 , 4.9E-6
24 , 1000 , 100 , Random , 172032 , 00:00:15.271 , 0.015 , 0.0101 , 0.01 , 0.217 , 0 , 0.014 , 3.24E-6
25 , 1000 , 100 , Random , 172032 , 00:00:14.993 , 0.015 , 0.00836 , 0.01 , 0.223 , 0 , 0.014 , 4.02E-6
26 , 1000 , 100 , Random , 172032 , 00:00:14.808 , 0.015 , 0.0103 , 0.01 , 0.213 , 0 , 0.013 , -4.37E-6
27 , 1000 , 100 , Random , 172032 , 00:00:13.614 , 0.014 , 0.01 , 0.01 , 0.239 , 0 , 0.013 , 1.92E-6
28 , 1000 , 100 , Random , 172032 , 00:00:13.946 , 0.014 , 0.00857 , 0.01 , 0.172 , 0 , 0.012 , -1.48E-5
29 , 1000 , 100 , Random , 172032 , 00:00:13.98 , 0.014 , 0.0101 , 0.01 , 0.246 , 0 , 0.013 , -6.02E-6
30 , 1000 , 100 , Random , 172032 , 00:00:14.133 , 0.014 , 0.00929 , 0.01 , 0.201 , 0 , 0.013 , 3.63E-6
31 , 1000 , 100 , Random , 172032 , 00:00:13.782 , 0.014 , 0.0107 , 0.01 , 0.227 , 0 , 0.013 , 1.6E-6
32 , 1000 , 100 , Random , 172032 , 00:00:14.805 , 0.015 , 0.0102 , 0.01 , 0.213 , 0 , 0.014 , 2.3E-6
33 , 1000 , 100 , Random , 172032 , 00:00:13.833 , 0.014 , 0.0113 , 0.009 , 0.221 , 0 , 0.012 , 3.03E-6
34 , 1000 , 100 , Random , 172032 , 00:00:13.645 , 0.014 , 0.00946 , 0.009 , 0.218 , 0 , 0.013 , 1.99E-6
35 , 1000 , 100 , Random , 172032 , 00:00:14.233 , 0.014 , 0.0114 , 0.008 , 0.24 , 0 , 0.013 , 4.5E-6
36 , 1000 , 100 , Random , 172032 , 00:00:13.832 , 0.014 , 0.0112 , 0.01 , 0.232 , 0 , 0.013 , -2.98E-6
37 , 1000 , 100 , Random , 172032 , 00:00:13.923 , 0.014 , 0.0104 , 0.01 , 0.22 , 0 , 0.013 , -9.47E-6
38 , 1000 , 100 , Random , 172032 , 00:00:13.667 , 0.014 , 0.00822 , 0.009 , 0.219 , 0 , 0.012 , 2.7E-6
39 , 1000 , 100 , Random , 172032 , 00:00:14.214 , 0.014 , 0.0095 , 0.008 , 0.218 , 0 , 0.013 , -2.08E-7
40 , 1000 , 100 , Random , 172032 , 00:00:13.866 , 0.014 , 0.00869 , 0.009 , 0.206 , 0 , 0.013 , 3.09E-6
41 , 1000 , 100 , Random , 172032 , 00:00:13.922 , 0.014 , 0.00897 , 0.01 , 0.207 , 0 , 0.013 , -5.47E-6
42 , 1000 , 100 , Random , 172032 , 00:00:13.811 , 0.014 , 0.00837 , 0.01 , 0.203 , 0 , 0.013 , 2.98E-6
43 , 1000 , 100 , Random , 172032 , 00:00:13.577 , 0.014 , 0.00913 , 0.009 , 0.215 , 0 , 0.013 , 5.12E-7
44 , 1000 , 100 , Random , 172032 , 00:00:13.775 , 0.014 , 0.00964 , 0.009 , 0.228 , 0 , 0.013 , 2.24E-6
45 , 1000 , 100 , Random , 172032 , 00:00:14.105 , 0.014 , 0.00961 , 0.009 , 0.231 , 0 , 0.013 , 2.24E-6
46 , 1000 , 100 , Random , 172032 , 00:00:13.607 , 0.014 , 0.00811 , 0.009 , 0.218 , 0 , 0.013 , -2.1E-6
47 , 1000 , 100 , Random , 172032 , 00:00:13.865 , 0.014 , 0.00929 , 0.009 , 0.217 , 0 , 0.013 , 3.09E-6
48 , 1000 , 100 , Random , 172032 , 00:00:14.73 , 0.015 , 0.00966 , 0.009 , 0.204 , 0 , 0.013 , 1.49E-6
49 , 1000 , 100 , Random , 172032 , 00:00:15.218 , 0.015 , 0.00945 , 0.011 , 0.2 , 0 , 0.014 , 3.13E-6
50 , 1000 , 100 , Random , 172032 , 00:00:15.167 , 0.015 , 0.00994 , 0.011 , 0.243 , 0 , 0.014 , 4.42E-6
