Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 100 , 1000 , Random , 151552 , 00:00:0.556 , 0.006 , 0.00148 , 0.004 , 0.012 , 0 , 0.005 , -1.23E-6
2 , 100 , 1000 , Random , 151552 , 00:00:0.556 , 0.006 , 0.00133 , 0.004 , 0.011 , 0 , 0.005 , -6.9E-6
3 , 100 , 1000 , Random , 151552 , 00:00:0.561 , 0.006 , 0.00145 , 0.004 , 0.011 , 0 , 0.005 , 1.36E-5
4 , 100 , 1000 , Random , 151552 , 00:00:0.595 , 0.006 , 0.00154 , 0.004 , 0.011 , 0 , 0.006 , 1.35E-5
5 , 100 , 1000 , Random , 151552 , 00:00:0.665 , 0.007 , 0.00256 , 0.003 , 0.02 , 0 , 0.006 , -1.95E-4
6 , 100 , 1000 , Random , 151552 , 00:00:0.528 , 0.005 , 8.42E-4 , 0.004 , 0.009 , 0 , 0.005 , 1.34E-5
7 , 100 , 1000 , Random , 151552 , 00:00:0.546 , 0.005 , 0.00153 , 0.003 , 0.015 , 0 , 0.005 , -9.11E-5
8 , 100 , 1000 , Random , 151552 , 00:00:0.526 , 0.005 , 0.00121 , 0.004 , 0.011 , 0 , 0.005 , 1.3E-5
9 , 100 , 1000 , Random , 151552 , 00:00:0.596 , 0.006 , 0.0014 , 0.004 , 0.012 , 0 , 0.005 , 2.05E-5
10 , 100 , 1000 , Random , 151552 , 00:00:0.594 , 0.006 , 0.0014 , 0.004 , 0.012 , 0 , 0.005 , -2.71E-5
11 , 100 , 1000 , Random , 151552 , 00:00:0.528 , 0.005 , 0.00126 , 0.004 , 0.015 , 0 , 0.005 , 1.28E-7
12 , 100 , 1000 , Random , 151552 , 00:00:1.035 , 0.01 , 0.0312 , 0.004 , 0.28 , 0 , 0.006 , 8.25E-5
13 , 100 , 1000 , Random , 151552 , 00:00:0.621 , 0.006 , 0.00117 , 0.005 , 0.013 , 0 , 0.006 , -1.49E-6
14 , 100 , 1000 , Random , 151552 , 00:00:0.616 , 0.006 , 0.00102 , 0.004 , 0.009 , 0 , 0.006 , 1.81E-5
15 , 100 , 1000 , Random , 151552 , 00:00:0.613 , 0.006 , 0.00134 , 0.004 , 0.012 , 0 , 0.006 , 4.8E-6
