Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 1000 , 10000 , Zeros , 10272768 , 00:00:6.698 , 0.007 , 0.00282 , 0.004 , 0.076 , 0 , 0.006 , 7.43E-7
2 , 1000 , 10000 , Zeros , 10272768 , 00:00:7.341 , 0.007 , 0.0118 , 0.004 , 0.28 , 0 , 0.006 , 2.71E-6
3 , 1000 , 10000 , Zeros , 10272768 , 00:00:7.558 , 0.008 , 0.0156 , 0.004 , 0.296 , 0 , 0.006 , 3.14E-6
4 , 1000 , 10000 , Zeros , 10272768 , 00:00:9.643 , 0.01 , 0.00953 , 0.004 , 0.302 , 0 , 0.01 , -2.03E-6
5 , 1000 , 10000 , Zeros , 10272768 , 00:00:9.752 , 0.01 , 0.00655 , 0.004 , 0.206 , 0 , 0.01 , -1.15E-6
6 , 1000 , 10000 , Zeros , 10272768 , 00:00:10.538 , 0.011 , 0.00969 , 0.005 , 0.217 , 0 , 0.01 , 4.3E-7
7 , 1000 , 10000 , Zeros , 10272768 , 00:00:18.187 , 0.018 , 0.0127 , 0.011 , 0.251 , 0 , 0.014 , -2.64E-7
8 , 1000 , 10000 , Zeros , 10272768 , 00:00:16.044 , 0.016 , 0.0118 , 0.01 , 0.239 , 0 , 0.013 , 4.12E-6
9 , 1000 , 10000 , Zeros , 10272768 , 00:00:16.599 , 0.017 , 0.0103 , 0.011 , 0.239 , 0 , 0.018 , 5.9E-6
10 , 1000 , 10000 , Zeros , 10272768 , 00:00:20.715 , 0.021 , 0.0123 , 0.012 , 0.242 , 0 , 0.019 , 6.81E-6
11 , 1000 , 10000 , Zeros , 10272768 , 00:00:17.452 , 0.017 , 0.0104 , 0.011 , 0.232 , 0 , 0.017 , -3.73E-6
12 , 1000 , 10000 , Zeros , 10272768 , 00:00:18.419 , 0.018 , 0.0113 , 0.011 , 0.213 , 0 , 0.018 , -8.47E-6
13 , 1000 , 10000 , Zeros , 10272768 , 00:00:18.9 , 0.019 , 0.0118 , 0.011 , 0.247 , 0 , 0.018 , 3.17E-6
