Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
41 , 100 , 1000 , Zeros , 290816 , 00:3:0.746 , 1.807 , 0.0016 , 0.0 , 0.012 , 0 , 0.0 , -2.84E-5
42 , 100 , 1000 , Zeros , 290816 , 00:3:0.325 , 1.803 , 0.00175 , 0.0 , 0.011 , 0 , 0.0 , -6.37E-5
43 , 100 , 1000 , Zeros , 290816 , 00:2:59.567 , 1.796 , 0.00174 , 0.0 , 0.011 , 0 , 0.0 , -2.07E-5
44 , 100 , 1000 , Zeros , 290816 , 00:2:59.38 , 1.794 , 0.00182 , 0.0 , 0.013 , 0 , 0.0 , -2.62E-5
45 , 100 , 1000 , Zeros , 290816 , 00:2:58.847 , 1.788 , 0.00131 , 0.0 , 0.011 , 0 , 0.0 , -2.26E-5
46 , 100 , 1000 , Zeros , 290816 , 00:2:58.393 , 1.784 , 0.00161 , 0.0 , 0.014 , 0 , 0.0 , -3.53E-5
47 , 100 , 1000 , Zeros , 290816 , 00:2:57.96 , 1.78 , 0.0257 , 0.0 , 0.262 , 0 , 0.0 , -6.93E-6
48 , 100 , 1000 , Zeros , 290816 , 00:2:57.208 , 1.772 , 0.0016 , 0.0 , 0.013 , 0 , 0.0 , -2.59E-5
49 , 100 , 1000 , Zeros , 290816 , 00:2:56.983 , 1.77 , 0.00141 , 0.0 , 0.013 , 0 , 0.0 , -2.73E-5
50 , 100 , 1000 , Zeros , 290816 , 00:2:56.583 , 1.766 , 0.00132 , 0.0 , 0.012 , 0 , 0.0 , -2.27E-5
