Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 100 , 100 , Random , 32768 , 00:00:0.537 , 0.005 , 9.35E-4 , 0.004 , 0.009 , 0 , 0.005 , -2.5E-5
2 , 100 , 100 , Random , 32768 , 00:00:0.564 , 0.006 , 0.00168 , 0.003 , 0.014 , 0 , 0.005 , -1.25E-5
3 , 100 , 100 , Random , 32768 , 00:00:0.568 , 0.006 , 0.00178 , 0.004 , 0.015 , 0 , 0.005 , 2.15E-5
4 , 100 , 100 , Random , 32768 , 00:00:0.542 , 0.005 , 0.00117 , 0.004 , 0.011 , 0 , 0.005 , -1.1E-5
5 , 100 , 100 , Random , 32768 , 00:00:0.581 , 0.006 , 0.00136 , 0.004 , 0.011 , 0 , 0.005 , -1.64E-5
6 , 100 , 100 , Random , 32768 , 00:00:0.558 , 0.006 , 0.00157 , 0.004 , 0.015 , 0 , 0.005 , 6.16E-6
7 , 100 , 100 , Random , 32768 , 00:00:0.574 , 0.006 , 0.00143 , 0.004 , 0.013 , 0 , 0.005 , -4.28E-6
8 , 100 , 100 , Random , 32768 , 00:00:0.578 , 0.006 , 0.00148 , 0.004 , 0.01 , 0 , 0.005 , 3.2E-6
9 , 100 , 100 , Random , 32768 , 00:00:0.618 , 0.006 , 0.00198 , 0.004 , 0.015 , 0 , 0.005 , 1.15E-5
10 , 100 , 100 , Random , 32768 , 00:00:0.558 , 0.006 , 0.00133 , 0.003 , 0.012 , 0 , 0.005 , 6.01E-6
11 , 100 , 100 , Random , 32768 , 00:00:0.513 , 0.005 , 7.79E-4 , 0.004 , 0.007 , 0 , 0.005 , -2.35E-5
12 , 100 , 100 , Random , 32768 , 00:00:0.603 , 0.006 , 0.0019 , 0.004 , 0.012 , 0 , 0.005 , 2.2E-5
13 , 100 , 100 , Random , 32768 , 00:00:0.809 , 0.008 , 0.0247 , 0.004 , 0.252 , 0 , 0.005 , 5.0E-5
14 , 100 , 100 , Random , 32768 , 00:00:0.562 , 0.006 , 0.00156 , 0.004 , 0.015 , 0 , 0.005 , -1.37E-5
15 , 100 , 100 , Random , 32768 , 00:00:0.553 , 0.006 , 0.00124 , 0.004 , 0.01 , 0 , 0.005 , 1.91E-5
