Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 1000 , 1000 , Random , 1380352 , 00:00:6.046 , 0.006 , 0.00494 , 0.003 , 0.156 , 0 , 0.006 , 1.03E-7
2 , 1000 , 1000 , Random , 1380352 , 00:00:6.565 , 0.007 , 0.0103 , 0.004 , 0.272 , 0 , 0.006 , 4.76E-7
3 , 1000 , 1000 , Random , 1380352 , 00:00:6.425 , 0.006 , 0.00691 , 0.004 , 0.162 , 0 , 0.006 , 2.2E-6
4 , 1000 , 1000 , Random , 1380352 , 00:00:6.633 , 0.007 , 0.00879 , 0.004 , 0.268 , 0 , 0.006 , 2.61E-6
5 , 1000 , 1000 , Random , 1380352 , 00:00:6.408 , 0.006 , 0.00713 , 0.004 , 0.163 , 0 , 0.006 , 1.5E-6
6 , 1000 , 1000 , Random , 1380352 , 00:00:6.53 , 0.007 , 0.00896 , 0.004 , 0.257 , 0 , 0.006 , -9.29E-7
7 , 1000 , 1000 , Random , 1380352 , 00:00:13.504 , 0.014 , 0.00802 , 0.005 , 0.15 , 0 , 0.012 , 3.04E-6
8 , 1000 , 1000 , Random , 1380352 , 00:00:14.863 , 0.015 , 0.0124 , 0.005 , 0.275 , 0 , 0.014 , 8.43E-6
9 , 1000 , 1000 , Random , 1380352 , 00:00:15.777 , 0.016 , 0.00863 , 0.011 , 0.166 , 0 , 0.014 , 2.92E-6
10 , 1000 , 1000 , Random , 1380352 , 00:00:14.976 , 0.015 , 0.0108 , 0.011 , 0.294 , 0 , 0.014 , -2.13E-8
11 , 1000 , 1000 , Random , 1380352 , 00:00:14.796 , 0.015 , 0.0107 , 0.011 , 0.226 , 0 , 0.014 , -3.72E-6
12 , 1000 , 1000 , Random , 1380352 , 00:00:14.218 , 0.014 , 0.00968 , 0.01 , 0.232 , 0 , 0.013 , 2.46E-6
13 , 1000 , 1000 , Random , 1380352 , 00:00:14.407 , 0.014 , 0.00891 , 0.01 , 0.241 , 0 , 0.013 , 8.45E-7
14 , 1000 , 1000 , Random , 1380352 , 00:00:14.812 , 0.015 , 0.0115 , 0.009 , 0.246 , 0 , 0.014 , 2.32E-6
15 , 1000 , 1000 , Random , 1380352 , 00:00:14.893 , 0.015 , 0.011 , 0.01 , 0.251 , 0 , 0.013 , 3.15E-6
16 , 1000 , 1000 , Random , 1380352 , 00:00:14.153 , 0.014 , 0.00841 , 0.009 , 0.212 , 0 , 0.013 , 1.67E-6
17 , 1000 , 1000 , Random , 1380352 , 00:00:15.165 , 0.015 , 0.00907 , 0.011 , 0.162 , 0 , 0.014 , 3.02E-6
18 , 1000 , 1000 , Random , 1380352 , 00:00:14.573 , 0.015 , 0.00922 , 0.008 , 0.219 , 0 , 0.013 , -1.62E-7
19 , 1000 , 1000 , Random , 1380352 , 00:00:14.222 , 0.014 , 0.0103 , 0.009 , 0.24 , 0 , 0.013 , 1.14E-6
20 , 1000 , 1000 , Random , 1380352 , 00:00:14.096 , 0.014 , 0.00904 , 0.01 , 0.235 , 0 , 0.013 , 4.22E-6
21 , 1000 , 1000 , Random , 1380352 , 00:00:14.141 , 0.014 , 0.0102 , 0.01 , 0.238 , 0 , 0.013 , 2.32E-6
22 , 1000 , 1000 , Random , 1380352 , 00:00:16.858 , 0.017 , 0.0108 , 0.01 , 0.232 , 0 , 0.017 , 7.76E-6
23 , 1000 , 1000 , Random , 1380352 , 00:00:18.949 , 0.019 , 0.00904 , 0.011 , 0.159 , 0 , 0.018 , -1.4E-6
24 , 1000 , 1000 , Random , 1380352 , 00:00:18.875 , 0.019 , 0.00989 , 0.013 , 0.184 , 0 , 0.018 , 5.12E-6
25 , 1000 , 1000 , Random , 1380352 , 00:00:18.996 , 0.019 , 0.00876 , 0.012 , 0.191 , 0 , 0.019 , 9.37E-6
26 , 1000 , 1000 , Random , 1380352 , 00:00:18.554 , 0.019 , 0.0093 , 0.011 , 0.187 , 0 , 0.019 , 6.47E-6
27 , 1000 , 1000 , Random , 1380352 , 00:00:18.611 , 0.019 , 0.00806 , 0.014 , 0.19 , 0 , 0.018 , 3.93E-6
28 , 1000 , 1000 , Random , 1380352 , 00:00:16.421 , 0.016 , 0.0113 , 0.01 , 0.235 , 0 , 0.017 , -1.79E-6
29 , 1000 , 1000 , Random , 1380352 , 00:00:16.615 , 0.017 , 0.00954 , 0.009 , 0.203 , 0 , 0.013 , -7.76E-8
30 , 1000 , 1000 , Random , 1380352 , 00:00:18.087 , 0.018 , 0.0081 , 0.011 , 0.179 , 0 , 0.018 , 8.8E-7
31 , 1000 , 1000 , Random , 1380352 , 00:00:17.337 , 0.017 , 0.0108 , 0.011 , 0.216 , 0 , 0.017 , 2.04E-6
32 , 1000 , 1000 , Random , 1380352 , 00:00:17.865 , 0.018 , 0.00912 , 0.011 , 0.197 , 0 , 0.018 , -1.57E-6
33 , 1000 , 1000 , Random , 1380352 , 00:00:18.802 , 0.019 , 0.00803 , 0.013 , 0.18 , 0 , 0.018 , -3.03E-6
34 , 1000 , 1000 , Random , 1380352 , 00:00:19.279 , 0.019 , 0.00994 , 0.013 , 0.189 , 0 , 0.019 , 2.6E-6
35 , 1000 , 1000 , Random , 1380352 , 00:00:17.635 , 0.018 , 0.0096 , 0.012 , 0.217 , 0 , 0.018 , 3.97E-6
36 , 1000 , 1000 , Random , 1380352 , 00:00:19.04 , 0.019 , 0.0093 , 0.012 , 0.191 , 0 , 0.019 , -1.88E-6
37 , 1000 , 1000 , Random , 1380352 , 00:00:19.159 , 0.019 , 0.0116 , 0.012 , 0.253 , 0 , 0.018 , 3.02E-6
38 , 1000 , 1000 , Random , 1380352 , 00:00:18.837 , 0.019 , 0.0111 , 0.013 , 0.198 , 0 , 0.018 , 1.71E-6
39 , 1000 , 1000 , Random , 1380352 , 00:00:15.249 , 0.015 , 0.00997 , 0.011 , 0.229 , 0 , 0.013 , -4.14E-6
40 , 1000 , 1000 , Random , 1380352 , 00:00:16.702 , 0.017 , 0.00941 , 0.012 , 0.22 , 0 , 0.014 , 2.78E-6
41 , 1000 , 1000 , Random , 1380352 , 00:00:18.02 , 0.018 , 0.0101 , 0.011 , 0.207 , 0 , 0.018 , -1.26E-6
42 , 1000 , 1000 , Random , 1380352 , 00:00:19.024 , 0.019 , 0.0097 , 0.012 , 0.191 , 0 , 0.019 , 6.77E-6
43 , 1000 , 1000 , Random , 1380352 , 00:00:19.292 , 0.019 , 0.00855 , 0.013 , 0.177 , 0 , 0.019 , -1.39E-6
44 , 1000 , 1000 , Random , 1380352 , 00:00:17.05 , 0.017 , 0.00943 , 0.011 , 0.191 , 0 , 0.018 , 4.81E-6
45 , 1000 , 1000 , Random , 1380352 , 00:00:18.777 , 0.019 , 0.00882 , 0.011 , 0.185 , 0 , 0.018 , 9.23E-7
46 , 1000 , 1000 , Random , 1380352 , 00:00:18.265 , 0.018 , 0.00997 , 0.011 , 0.194 , 0 , 0.018 , -7.7E-7
47 , 1000 , 1000 , Random , 1380352 , 00:00:19.346 , 0.019 , 0.011 , 0.012 , 0.304 , 0 , 0.019 , 2.06E-6
48 , 1000 , 1000 , Random , 1380352 , 00:00:18.761 , 0.019 , 0.0106 , 0.013 , 0.189 , 0 , 0.018 , 6.23E-6
49 , 1000 , 1000 , Random , 1380352 , 00:00:19.423 , 0.019 , 0.00996 , 0.011 , 0.204 , 0 , 0.019 , 8.83E-7
50 , 1000 , 1000 , Random , 1380352 , 00:00:18.747 , 0.019 , 0.00891 , 0.013 , 0.186 , 0 , 0.018 , 2.2E-6
