Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 1000 , 1000 , Zeros , 1380352 , 00:00:5.921 , 0.006 , 0.00403 , 0.003 , 0.117 , 0 , 0.005 , 1.19E-6
2 , 1000 , 1000 , Zeros , 1380352 , 00:00:6.01 , 0.006 , 0.00897 , 0.003 , 0.285 , 0 , 0.005 , 2.03E-6
3 , 1000 , 1000 , Zeros , 1380352 , 00:00:6.956 , 0.007 , 0.0127 , 0.004 , 0.287 , 0 , 0.006 , 3.26E-6
4 , 1000 , 1000 , Zeros , 1380352 , 00:00:6.563 , 0.007 , 0.00954 , 0.004 , 0.302 , 0 , 0.006 , 2.47E-6
5 , 1000 , 1000 , Zeros , 1380352 , 00:00:6.653 , 0.007 , 0.00898 , 0.004 , 0.275 , 0 , 0.006 , -1.59E-8
6 , 1000 , 1000 , Zeros , 1380352 , 00:00:6.597 , 0.007 , 0.00886 , 0.004 , 0.238 , 0 , 0.006 , -4.13E-6
7 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.404 , 0.014 , 0.0113 , 0.006 , 0.221 , 0 , 0.015 , -1.17E-6
8 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.055 , 0.014 , 0.0104 , 0.009 , 0.247 , 0 , 0.013 , 2.81E-6
9 , 1000 , 1000 , Zeros , 1380352 , 00:00:15.39 , 0.015 , 0.00906 , 0.011 , 0.2 , 0 , 0.014 , -1.86E-6
10 , 1000 , 1000 , Zeros , 1380352 , 00:00:15.806 , 0.016 , 0.0104 , 0.01 , 0.229 , 0 , 0.015 , 4.98E-6
11 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.368 , 0.014 , 0.0097 , 0.01 , 0.218 , 0 , 0.013 , -5.69E-7
12 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.932 , 0.015 , 0.00975 , 0.011 , 0.221 , 0 , 0.014 , 3.9E-6
13 , 1000 , 1000 , Zeros , 1380352 , 00:00:15.376 , 0.015 , 0.0109 , 0.01 , 0.24 , 0 , 0.014 , 3.45E-6
14 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.594 , 0.015 , 0.0093 , 0.011 , 0.212 , 0 , 0.013 , 3.88E-6
15 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.189 , 0.014 , 0.00977 , 0.009 , 0.236 , 0 , 0.013 , 1.74E-6
16 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.303 , 0.014 , 0.011 , 0.008 , 0.246 , 0 , 0.013 , 4.65E-6
17 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.974 , 0.015 , 0.0104 , 0.01 , 0.254 , 0 , 0.014 , 3.98E-6
18 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.893 , 0.015 , 0.012 , 0.009 , 0.244 , 0 , 0.013 , 3.82E-6
19 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.284 , 0.014 , 0.01 , 0.01 , 0.232 , 0 , 0.013 , 1.26E-6
20 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.583 , 0.015 , 0.0116 , 0.011 , 0.23 , 0 , 0.013 , 4.53E-6
21 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.478 , 0.014 , 0.0119 , 0.011 , 0.249 , 0 , 0.013 , 1.65E-6
22 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.449 , 0.014 , 0.00738 , 0.01 , 0.162 , 0 , 0.013 , 2.93E-6
23 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.144 , 0.014 , 0.0114 , 0.009 , 0.241 , 0 , 0.013 , 4.99E-6
24 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.857 , 0.015 , 0.0103 , 0.01 , 0.228 , 0 , 0.014 , 3.74E-6
25 , 1000 , 1000 , Zeros , 1380352 , 00:00:15.374 , 0.015 , 0.0131 , 0.011 , 0.297 , 0 , 0.014 , 2.11E-6
26 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.463 , 0.014 , 0.0112 , 0.01 , 0.239 , 0 , 0.013 , -3.8E-7
27 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.885 , 0.015 , 0.01 , 0.009 , 0.234 , 0 , 0.014 , 3.14E-6
28 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.85 , 0.015 , 0.0098 , 0.01 , 0.234 , 0 , 0.013 , 1.73E-6
29 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.795 , 0.015 , 0.0122 , 0.011 , 0.248 , 0 , 0.013 , -2.38E-6
30 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.637 , 0.015 , 0.00951 , 0.01 , 0.245 , 0 , 0.013 , -7.37E-6
31 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.708 , 0.015 , 0.01 , 0.011 , 0.227 , 0 , 0.013 , -5.89E-6
32 , 1000 , 1000 , Zeros , 1380352 , 00:00:15.114 , 0.015 , 0.0096 , 0.009 , 0.201 , 0 , 0.014 , 2.92E-6
33 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.789 , 0.015 , 0.00842 , 0.01 , 0.223 , 0 , 0.013 , -1.73E-6
34 , 1000 , 1000 , Zeros , 1380352 , 00:00:15.044 , 0.015 , 0.0107 , 0.01 , 0.241 , 0 , 0.013 , 2.79E-6
35 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.382 , 0.014 , 0.00911 , 0.01 , 0.22 , 0 , 0.013 , 2.8E-6
36 , 1000 , 1000 , Zeros , 1380352 , 00:00:15.18 , 0.015 , 0.0102 , 0.011 , 0.215 , 0 , 0.014 , 3.88E-7
37 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.668 , 0.015 , 0.0111 , 0.01 , 0.229 , 0 , 0.013 , 3.37E-6
38 , 1000 , 1000 , Zeros , 1380352 , 00:00:15.058 , 0.015 , 0.00978 , 0.011 , 0.23 , 0 , 0.014 , 1.49E-6
39 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.94 , 0.015 , 0.012 , 0.011 , 0.24 , 0 , 0.013 , -9.27E-8
40 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.921 , 0.015 , 0.0108 , 0.011 , 0.238 , 0 , 0.014 , 6.56E-6
41 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.893 , 0.015 , 0.0108 , 0.01 , 0.231 , 0 , 0.013 , -1.46E-4
42 , 1000 , 1000 , Zeros , 1380352 , 00:00:13.751 , 0.014 , 0.00933 , 0.009 , 0.242 , 0 , 0.013 , 3.53E-6
43 , 1000 , 1000 , Zeros , 1380352 , 00:00:13.532 , 0.014 , 0.00922 , 0.009 , 0.244 , 0 , 0.012 , 1.76E-6
44 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.685 , 0.015 , 0.0111 , 0.009 , 0.292 , 0 , 0.013 , 5.4E-6
45 , 1000 , 1000 , Zeros , 1380352 , 00:00:13.495 , 0.013 , 0.0105 , 0.009 , 0.244 , 0 , 0.012 , -9.86E-7
46 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.882 , 0.015 , 0.0119 , 0.01 , 0.245 , 0 , 0.013 , 5.21E-6
47 , 1000 , 1000 , Zeros , 1380352 , 00:00:13.465 , 0.013 , 0.00942 , 0.009 , 0.22 , 0 , 0.012 , 2.96E-6
48 , 1000 , 1000 , Zeros , 1380352 , 00:00:13.804 , 0.014 , 0.00982 , 0.009 , 0.267 , 0 , 0.013 , 3.64E-6
49 , 1000 , 1000 , Zeros , 1380352 , 00:00:13.735 , 0.014 , 0.00895 , 0.009 , 0.202 , 0 , 0.012 , 2.17E-6
50 , 1000 , 1000 , Zeros , 1380352 , 00:00:14.115 , 0.014 , 0.00954 , 0.008 , 0.256 , 0 , 0.013 , 3.59E-6
