Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 100 , 10000 , Random , 1056768 , 00:00:0.502 , 0.005 , 0.00113 , 0.004 , 0.013 , 0 , 0.005 , -1.88E-5
2 , 100 , 10000 , Random , 1056768 , 00:00:0.78 , 0.008 , 0.0196 , 0.004 , 0.201 , 0 , 0.005 , 1.69E-5
3 , 100 , 10000 , Random , 1056768 , 00:00:0.604 , 0.006 , 0.00182 , 0.004 , 0.016 , 0 , 0.005 , 2.02E-6
4 , 100 , 10000 , Random , 1056768 , 00:00:0.592 , 0.006 , 0.00153 , 0.004 , 0.012 , 0 , 0.006 , -2.07E-5
5 , 100 , 10000 , Random , 1056768 , 00:00:0.595 , 0.006 , 0.00167 , 0.004 , 0.015 , 0 , 0.006 , 6.89E-6
6 , 100 , 10000 , Random , 1056768 , 00:00:0.624 , 0.006 , 0.00188 , 0.004 , 0.014 , 0 , 0.006 , 1.28E-5
7 , 100 , 10000 , Random , 1056768 , 00:00:0.79 , 0.008 , 0.0135 , 0.004 , 0.14 , 0 , 0.006 , 5.94E-5
8 , 100 , 10000 , Random , 1056768 , 00:00:0.636 , 0.006 , 0.00133 , 0.004 , 0.013 , 0 , 0.007 , -4.91E-6
9 , 100 , 10000 , Random , 1056768 , 00:00:0.679 , 0.007 , 0.00152 , 0.005 , 0.016 , 0 , 0.007 , -7.01E-5
10 , 100 , 10000 , Random , 1056768 , 00:00:0.596 , 0.006 , 8.93E-4 , 0.004 , 0.009 , 0 , 0.006 , 1.58E-7
11 , 100 , 10000 , Random , 1056768 , 00:00:0.667 , 0.007 , 0.0017 , 0.005 , 0.015 , 0 , 0.006 , -1.13E-4
12 , 100 , 10000 , Random , 1056768 , 00:00:0.637 , 0.006 , 9.34E-4 , 0.005 , 0.01 , 0 , 0.006 , 1.71E-6
13 , 100 , 10000 , Random , 1056768 , 00:00:0.668 , 0.007 , 0.00127 , 0.005 , 0.013 , 0 , 0.007 , -1.79E-5
14 , 100 , 10000 , Random , 1056768 , 00:00:0.659 , 0.007 , 9.13E-4 , 0.004 , 0.01 , 0 , 0.007 , -1.36E-5
15 , 100 , 10000 , Random , 1056768 , 00:00:0.662 , 0.007 , 0.00117 , 0.005 , 0.015 , 0 , 0.007 , 7.13E-6
16 , 100 , 10000 , Random , 1056768 , 00:00:0.623 , 0.006 , 8.35E-4 , 0.005 , 0.01 , 0 , 0.006 , -7.54E-7
