Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 10000 , 1000 , Zeros , 13701120 , 00:2:42.081 , 0.016 , 0.011 , 0.003 , 0.427 , 0 , 0.014 , 2.38E-6
2 , 10000 , 1000 , Zeros , 13701120 , 00:2:30.028 , 0.015 , 0.0107 , 0.009 , 0.263 , 0 , 0.013 , 6.68E-7
3 , 10000 , 1000 , Zeros , 13701120 , 00:2:48.77 , 0.017 , 0.0104 , 0.009 , 0.268 , 0 , 0.018 , 7.76E-7
4 , 10000 , 1000 , Zeros , 13701120 , 00:2:48.125 , 0.017 , 0.0117 , 0.009 , 0.366 , 0 , 0.018 , 5.63E-7
5 , 10000 , 1000 , Zeros , 13701120 , 00:2:59.886 , 0.018 , 0.011 , 0.008 , 0.272 , 0 , 0.018 , 3.98E-7
6 , 10000 , 1000 , Zeros , 13701120 , 00:2:55.056 , 0.018 , 0.0105 , 0.01 , 0.31 , 0 , 0.018 , 1.1E-6
7 , 10000 , 1000 , Zeros , 13701120 , 00:2:59.642 , 0.018 , 0.00971 , 0.01 , 0.243 , 0 , 0.018 , 9.93E-7
8 , 10000 , 1000 , Zeros , 13701120 , 00:2:57.249 , 0.018 , 0.00958 , 0.01 , 0.234 , 0 , 0.018 , 1.01E-6
9 , 10000 , 1000 , Zeros , 13701120 , 00:3:0.208 , 0.018 , 0.00991 , 0.01 , 0.22 , 0 , 0.018 , 1.0E-6
10 , 10000 , 1000 , Zeros , 13701120 , 00:2:57.143 , 0.018 , 0.00999 , 0.009 , 0.215 , 0 , 0.018 , 1.01E-6
11 , 10000 , 1000 , Zeros , 13701120 , 00:2:53.88 , 0.017 , 0.0104 , 0.008 , 0.267 , 0 , 0.018 , 1.01E-6
12 , 10000 , 1000 , Zeros , 13701120 , 00:2:58.882 , 0.018 , 0.0099 , 0.01 , 0.234 , 0 , 0.018 , 9.78E-7
13 , 10000 , 1000 , Zeros , 13701120 , 00:2:59.72 , 0.018 , 0.00982 , 0.01 , 0.285 , 0 , 0.018 , 8.62E-7
14 , 10000 , 1000 , Zeros , 13701120 , 00:2:58.703 , 0.018 , 0.0101 , 0.009 , 0.225 , 0 , 0.018 , 1.04E-6
15 , 10000 , 1000 , Zeros , 13701120 , 00:2:59.161 , 0.018 , 0.0101 , 0.008 , 0.294 , 0 , 0.018 , 8.5E-7
16 , 10000 , 1000 , Zeros , 13701120 , 00:2:58.426 , 0.018 , 0.01 , 0.009 , 0.245 , 0 , 0.018 , 1.1E-6
17 , 10000 , 1000 , Zeros , 13701120 , 00:2:58.563 , 0.018 , 0.00965 , 0.01 , 0.225 , 0 , 0.018 , 1.04E-6
18 , 10000 , 1000 , Zeros , 13701120 , 00:2:58.206 , 0.018 , 0.01 , 0.009 , 0.252 , 0 , 0.018 , 9.65E-7
19 , 10000 , 1000 , Zeros , 13701120 , 00:2:58.005 , 0.018 , 0.00981 , 0.009 , 0.244 , 0 , 0.018 , 1.03E-6
20 , 10000 , 1000 , Zeros , 13701120 , 00:2:57.904 , 0.018 , 0.00961 , 0.01 , 0.22 , 0 , 0.018 , 7.59E-7
21 , 10000 , 1000 , Zeros , 13701120 , 00:2:56.979 , 0.018 , 0.0099 , 0.01 , 0.217 , 0 , 0.018 , 8.07E-7
22 , 10000 , 1000 , Zeros , 13701120 , 00:2:58.609 , 0.018 , 0.01 , 0.009 , 0.224 , 0 , 0.018 , 1.04E-6
23 , 10000 , 1000 , Zeros , 13701120 , 00:2:59.328 , 0.018 , 0.00976 , 0.009 , 0.272 , 0 , 0.018 , 1.05E-6
24 , 10000 , 1000 , Zeros , 13701120 , 00:2:56.49 , 0.018 , 0.00984 , 0.009 , 0.221 , 0 , 0.018 , 9.3E-7
25 , 10000 , 1000 , Zeros , 13701120 , 00:3:0.675 , 0.018 , 0.00995 , 0.006 , 0.26 , 0 , 0.018 , 6.14E-7
26 , 10000 , 1000 , Zeros , 13701120 , 00:2:56.596 , 0.018 , 0.00982 , 0.01 , 0.22 , 0 , 0.018 , 9.99E-7
27 , 10000 , 1000 , Zeros , 13701120 , 00:2:59.505 , 0.018 , 0.00987 , 0.009 , 0.238 , 0 , 0.018 , 1.06E-6
28 , 10000 , 1000 , Zeros , 13701120 , 00:3:1.209 , 0.018 , 0.00976 , 0.01 , 0.29 , 0 , 0.018 , 1.02E-6
29 , 10000 , 1000 , Zeros , 13701120 , 00:3:2.419 , 0.018 , 0.00976 , 0.009 , 0.287 , 0 , 0.019 , 5.82E-7
30 , 10000 , 1000 , Zeros , 13701120 , 00:2:55.145 , 0.018 , 0.00963 , 0.009 , 0.223 , 0 , 0.018 , 9.03E-7
31 , 10000 , 1000 , Zeros , 13701120 , 00:2:56.278 , 0.018 , 0.00961 , 0.01 , 0.229 , 0 , 0.018 , 8.59E-7
32 , 10000 , 1000 , Zeros , 13701120 , 00:2:59.181 , 0.018 , 0.00987 , 0.01 , 0.253 , 0 , 0.018 , 9.17E-7
33 , 10000 , 1000 , Zeros , 13701120 , 00:2:58.858 , 0.018 , 0.00961 , 0.009 , 0.208 , 0 , 0.018 , 7.78E-7
34 , 10000 , 1000 , Zeros , 13701120 , 00:2:57.805 , 0.018 , 0.0101 , 0.009 , 0.259 , 0 , 0.018 , 1.02E-6
35 , 10000 , 1000 , Zeros , 13701120 , 00:3:0.356 , 0.018 , 0.00943 , 0.01 , 0.251 , 0 , 0.018 , 1.14E-6
36 , 10000 , 1000 , Zeros , 13701120 , 00:2:57.137 , 0.018 , 0.0102 , 0.009 , 0.318 , 0 , 0.018 , 9.43E-7
37 , 10000 , 1000 , Zeros , 13701120 , 00:2:57.163 , 0.018 , 0.0102 , 0.009 , 0.287 , 0 , 0.018 , 9.44E-7
38 , 10000 , 1000 , Zeros , 13701120 , 00:3:1.596 , 0.018 , 0.00975 , 0.009 , 0.281 , 0 , 0.018 , 1.03E-6
39 , 10000 , 1000 , Zeros , 13701120 , 00:3:0.018 , 0.018 , 0.0101 , 0.009 , 0.223 , 0 , 0.018 , 1.07E-6
40 , 10000 , 1000 , Zeros , 13701120 , 00:2:59.529 , 0.018 , 0.0101 , 0.009 , 0.233 , 0 , 0.018 , 9.91E-7
41 , 10000 , 1000 , Zeros , 13701120 , 00:2:59.002 , 0.018 , 0.01 , 0.009 , 0.252 , 0 , 0.018 , 9.8E-7
42 , 10000 , 1000 , Zeros , 13701120 , 00:2:58.813 , 0.018 , 0.00996 , 0.01 , 0.219 , 0 , 0.018 , 9.1E-7
43 , 10000 , 1000 , Zeros , 13701120 , 00:2:58.89 , 0.018 , 0.01 , 0.009 , 0.286 , 0 , 0.018 , 7.78E-7
44 , 10000 , 1000 , Zeros , 13701120 , 00:2:58.643 , 0.018 , 0.00986 , 0.01 , 0.222 , 0 , 0.018 , 1.04E-6
45 , 10000 , 1000 , Zeros , 13701120 , 00:2:58.141 , 0.018 , 0.00989 , 0.01 , 0.218 , 0 , 0.018 , 9.63E-7
46 , 10000 , 1000 , Zeros , 13701120 , 00:2:57.87 , 0.018 , 0.01 , 0.009 , 0.215 , 0 , 0.018 , 1.09E-6
47 , 10000 , 1000 , Zeros , 13701120 , 00:2:57.79 , 0.018 , 0.00991 , 0.008 , 0.221 , 0 , 0.018 , 1.02E-6
48 , 10000 , 1000 , Zeros , 13701120 , 00:2:57.11 , 0.018 , 0.00956 , 0.009 , 0.314 , 0 , 0.018 , 1.01E-6
49 , 10000 , 1000 , Zeros , 13701120 , 00:3:0.182 , 0.018 , 0.00958 , 0.008 , 0.211 , 0 , 0.018 , 1.2E-6
50 , 10000 , 1000 , Zeros , 13701120 , 00:2:59.373 , 0.018 , 0.00973 , 0.009 , 0.299 , 0 , 0.018 , 9.88E-7
