Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1,100,100, Zeros ,32768, 00:00:0.499 ,0.005,0.001,0.003,0.013,0,0.005,-2.60E-05
2,100,100, Zeros ,32768, 00:00:0.588 ,0.006,0.002,0.004,0.012,0,0.005,-6.89E-05
3,100,100, Zeros ,32768, 00:00:0.579 ,0.006,0.003,0.004,0.030,0,0.005,1.02E-05
4,100,100, Zeros ,32768, 00:00:0.638 ,0.006,0.002,0.003,0.016,0,0.005,-3.16E-05
5,100,100, Zeros ,32768, 00:00:0.543 ,0.005,0.001,0.003,0.014,0,0.005,3.13E-06
6,100,100, Zeros ,32768, 00:00:0.557 ,0.006,0.001,0.004,0.011,0,0.005,-1.45E-05
7,100,100, Zeros ,32768, 00:00:0.551 ,0.006,0.001,0.004,0.009,0,0.005,-4.92E-05
8,100,100, Zeros ,32768, 00:00:0.795 ,0.008,0.025,0.004,0.259,0,0.005,4.07E-05
9,100,100, Zeros ,32768, 00:00:0.58 ,0.006,0.001,0.004,0.011,0,0.005,1.09E-05
10,100,100, Zeros ,32768, 00:00:0.543 ,0.005,0.001,0.004,0.010,0,0.005,1.65E-05
11,100,100, Zeros ,32768, 00:00:0.569 ,0.006,0.002,0.003,0.014,0,0.005,-1.84E-05
12,100,100, Zeros ,32768, 00:00:0.519 ,0.005,0.001,0.004,0.013,0,0.005,-8.62E-06
13,100,100, Zeros ,32768, 00:00:0.556 ,0.006,0.002,0.004,0.012,0,0.005,-1.45E-05
14,100,100, Zeros ,32768, 00:00:0.566 ,0.006,0.001,0.004,0.014,0,0.005,7.58E-06
15,100,100, Zeros ,32768, 00:00:0.538 ,0.005,0.001,0.003,0.011,0,0.005,-4.71E-06
16,100,100, Zeros ,32768, 00:00:0.619 ,0.006,0.003,0.004,0.021,0,0.006,1.84E-05
17,100,100, Zeros ,32768, 00:00:0.764 ,0.008,0.016,0.004,0.158,0,0.005,5.43E-05
18,100,100, Zeros ,32768, 00:00:0.586 ,0.006,0.002,0.003,0.015,0,0.005,-1.53E-05
19,100,100, Zeros ,32768, 00:00:0.586 ,0.006,0.001,0.004,0.011,0,0.005,2.59E-05
20,100,100, Zeros ,32768, 00:00:0.685 ,0.007,0.003,0.004,0.018,0,0.005,3.19E-05
21,100,100, Zeros ,32768, 00:00:0.835 ,0.008,0.016,0.005,0.162,0,0.006,3.91E-05
22,100,100, Zeros ,32768, 00:00:0.656 ,0.007,0.002,0.004,0.014,0,0.007,5.05E-07
23,100,100, Zeros ,32768, 00:00:0.655 ,0.007,0.001,0.005,0.010,0,0.006,-7.47E-07
24,100,100, Zeros ,32768, 00:00:0.718 ,0.007,0.002,0.004,0.013,0,0.006,5.19E-05
25,100,100, Zeros ,32768, 00:00:0.962 ,0.01,0.018,0.005,0.188,0,0.007,4.81E-05
26,100,100, Zeros ,32768, 00:00:0.728 ,0.007,0.001,0.005,0.015,0,0.007,3.06E-07
27,100,100, Zeros ,32768, 00:00:0.814 ,0.008,0.002,0.006,0.016,0,0.008,-2.36E-06
28,100,100, Zeros ,32768, 00:00:0.74 ,0.007,0.002,0.005,0.017,0,0.007,1.65E-05
29,100,100, Zeros ,32768, 00:00:0.775 ,0.008,0.001,0.005,0.013,0,0.008,-1.03E-05
30,100,100, Zeros ,32768, 00:00:0.589 ,0.006,0.002,0.004,0.012,0,0.005,2.62E-05
31,100,100, Zeros ,32768, 00:00:0.742 ,0.007,0.002,0.005,0.016,0,0.007,1.01E-05
32,100,100, Zeros ,32768, 00:00:1.012 ,0.01,0.027,0.006,0.280,0,0.007,5.77E-05
33,100,100, Zeros ,32768, 00:00:0.715 ,0.007,0.001,0.005,0.014,0,0.007,-1.58E-05
34,100,100, Zeros ,32768, 00:00:0.789 ,0.008,0.002,0.006,0.014,0,0.008,-4.12E-05
35,100,100, Zeros ,32768, 00:00:0.78 ,0.008,0.002,0.005,0.016,0,0.007,3.11E-05
36,100,100, Zeros ,32768, 00:00:0.743 ,0.007,0.001,0.006,0.010,0,0.007,3.52E-06
37,100,100, Zeros ,32768, 00:00:0.758 ,0.008,0.001,0.005,0.016,0,0.007,6.19E-06
38,100,100, Zeros ,32768, 00:00:0.533 ,0.005,0.001,0.004,0.008,0,0.005,7.51E-06
39,100,100, Zeros ,32768, 00:00:0.605 ,0.006,0.003,0.004,0.024,0,0.005,1.57E-05
40,100,100, Zeros ,32768, 00:00:0.693 ,0.007,0.001,0.004,0.011,0,0.007,-2.01E-05
41,100,100, Zeros ,32768, 00:00:0.574 ,0.006,0.001,0.004,0.011,0,0.005,-4.06E-06
42,100,100, Zeros ,32768, 00:00:0.729 ,0.007,0.002,0.004,0.012,0,0.007,1.40E-05
43,100,100, Zeros ,32768, 00:00:0.651 ,0.007,0.002,0.004,0.011,0,0.006,2.50E-05
44,100,100, Zeros ,32768, 00:00:0.558 ,0.006,0.001,0.004,0.012,0,0.005,-6.80E-05
45,100,100, Zeros ,32768, 00:00:0.54 ,0.005,0.002,0.004,0.018,0,0.005,1.58E-05
46,100,100, Zeros ,32768, 00:00:0.563 ,0.006,0.002,0.004,0.014,0,0.005,-1.32E-05
47,100,100, Zeros ,32768, 00:00:0.527 ,0.005,0.001,0.004,0.010,0,0.005,-1.39E-05
48,100,100, Zeros ,32768, 00:00:0.74 ,0.007,0.018,0.003,0.184,0,0.005,4.29E-05
49,100,100, Zeros ,32768, 00:00:0.549 ,0.005,0.002,0.003,0.011,0,0.005,1.08E-05
50,100,100, Zeros ,32768, 00:00:0.583 ,0.006,0.002,0.004,0.016,0,0.005,1.76E-05
