Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
41 , 10000 , 100 , Zeros , 1601536 , 00:2:50.515 , 0.017 , 0.00802 , 0.01 , 0.194 , 0 , 0.017 , 6.11E-7
42 , 10000 , 100 , Zeros , 1601536 , 00:2:49.916 , 0.017 , 0.00969 , 0.008 , 0.322 , 0 , 0.017 , 1.32E-7
43 , 10000 , 100 , Zeros , 1601536 , 00:2:51.269 , 0.017 , 0.00908 , 0.01 , 0.205 , 0 , 0.017 , 1.03E-6
44 , 10000 , 100 , Zeros , 1601536 , 00:2:48.812 , 0.017 , 0.00881 , 0.009 , 0.195 , 0 , 0.017 , 3.77E-7
45 , 10000 , 100 , Zeros , 1601536 , 00:2:49.71 , 0.017 , 0.00946 , 0.009 , 0.227 , 0 , 0.017 , 6.12E-8
46 , 10000 , 100 , Zeros , 1601536 , 00:2:51.087 , 0.017 , 0.00845 , 0.009 , 0.276 , 0 , 0.017 , 6.22E-7
47 , 10000 , 100 , Zeros , 1601536 , 00:2:51.84 , 0.017 , 0.00899 , 0.008 , 0.216 , 0 , 0.017 , 5.04E-7
48 , 10000 , 100 , Zeros , 1601536 , 00:2:54.013 , 0.017 , 0.00905 , 0.01 , 0.201 , 0 , 0.017 , 1.47E-7
49 , 10000 , 100 , Zeros , 1601536 , 00:2:51.618 , 0.017 , 0.0112 , 0.009 , 0.42 , 0 , 0.017 , 4.99E-7
50 , 10000 , 100 , Zeros , 1601536 , 00:3:7.681 , 0.019 , 0.00941 , 0.009 , 0.208 , 0 , 0.019 , 2.07E-8
