Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 100 , 10000 , Zeros , 1056768 , 00:00:0.582 , 0.006 , 0.00147 , 0.004 , 0.011 , 0 , 0.005 , 1.77E-5
2 , 100 , 10000 , Zeros , 1056768 , 00:00:0.527 , 0.005 , 0.00104 , 0.004 , 0.01 , 0 , 0.005 , 1.31E-5
3 , 100 , 10000 , Zeros , 1056768 , 00:00:0.644 , 0.006 , 0.00252 , 0.004 , 0.016 , 0 , 0.005 , -6.43E-5
4 , 100 , 10000 , Zeros , 1056768 , 00:00:0.497 , 0.005 , 8.58E-4 , 0.004 , 0.008 , 0 , 0.005 , 5.59E-7
5 , 100 , 10000 , Zeros , 1056768 , 00:00:0.578 , 0.006 , 0.00201 , 0.004 , 0.015 , 0 , 0.005 , -1.25E-4
6 , 100 , 10000 , Zeros , 1056768 , 00:00:0.531 , 0.005 , 9.9E-4 , 0.004 , 0.011 , 0 , 0.005 , 5.35E-7
7 , 100 , 10000 , Zeros , 1056768 , 00:00:0.584 , 0.006 , 0.00122 , 0.004 , 0.012 , 0 , 0.006 , 1.13E-5
8 , 100 , 10000 , Zeros , 1056768 , 00:00:0.575 , 0.006 , 0.00128 , 0.004 , 0.012 , 0 , 0.005 , 2.84E-6
9 , 100 , 10000 , Zeros , 1056768 , 00:00:0.555 , 0.006 , 8.86E-4 , 0.004 , 0.011 , 0 , 0.005 , -6.86E-5
10 , 100 , 10000 , Zeros , 1056768 , 00:00:1.153 , 0.012 , 0.0352 , 0.005 , 0.281 , 0 , 0.006 , 1.2E-4
11 , 100 , 10000 , Zeros , 1056768 , 00:00:0.593 , 0.006 , 0.00138 , 0.004 , 0.012 , 0 , 0.005 , -2.65E-5
12 , 100 , 10000 , Zeros , 1056768 , 00:00:0.553 , 0.006 , 9.0E-4 , 0.004 , 0.01 , 0 , 0.005 , -1.58E-6
13 , 100 , 10000 , Zeros , 1056768 , 00:00:0.595 , 0.006 , 8.82E-4 , 0.004 , 0.008 , 0 , 0.006 , 2.42E-7
14 , 100 , 10000 , Zeros , 1056768 , 00:00:0.964 , 0.01 , 0.0266 , 0.004 , 0.257 , 0 , 0.006 , 6.15E-5
15 , 100 , 10000 , Zeros , 1056768 , 00:00:0.608 , 0.006 , 0.00121 , 0.005 , 0.015 , 0 , 0.006 , 9.54E-6
16 , 100 , 10000 , Zeros , 1056768 , 00:00:0.606 , 0.006 , 8.79E-4 , 0.005 , 0.009 , 0 , 0.006 , 9.16E-6
17 , 100 , 10000 , Zeros , 1056768 , 00:00:0.606 , 0.006 , 9.71E-4 , 0.004 , 0.011 , 0 , 0.006 , -1.09E-5
18 , 100 , 10000 , Zeros , 1056768 , 00:00:0.95 , 0.009 , 0.0346 , 0.005 , 0.352 , 0 , 0.006 , 6.5E-5
19 , 100 , 10000 , Zeros , 1056768 , 00:00:0.612 , 0.006 , 8.77E-4 , 0.004 , 0.009 , 0 , 0.006 , 3.04E-5
20 , 100 , 10000 , Zeros , 1056768 , 00:00:0.625 , 0.006 , 0.00149 , 0.004 , 0.013 , 0 , 0.006 , 6.71E-6
21 , 100 , 10000 , Zeros , 1056768 , 00:00:0.617 , 0.006 , 8.39E-4 , 0.004 , 0.01 , 0 , 0.006 , -2.16E-6
22 , 100 , 10000 , Zeros , 1056768 , 00:00:1.016 , 0.01 , 0.0291 , 0.004 , 0.275 , 0 , 0.006 , 9.2E-5
23 , 100 , 10000 , Zeros , 1056768 , 00:00:0.621 , 0.006 , 8.15E-4 , 0.004 , 0.009 , 0 , 0.006 , -8.03E-6
24 , 100 , 10000 , Zeros , 1056768 , 00:00:0.671 , 0.007 , 0.00148 , 0.005 , 0.015 , 0 , 0.007 , -1.14E-5
25 , 100 , 10000 , Zeros , 1056768 , 00:00:0.595 , 0.006 , 0.00133 , 0.004 , 0.013 , 0 , 0.006 , 1.37E-5
26 , 100 , 10000 , Zeros , 1056768 , 00:00:0.925 , 0.009 , 0.0284 , 0.004 , 0.279 , 0 , 0.005 , 7.34E-5
27 , 100 , 10000 , Zeros , 1056768 , 00:00:0.627 , 0.006 , 0.0014 , 0.004 , 0.012 , 0 , 0.006 , 2.11E-5
28 , 100 , 10000 , Zeros , 1056768 , 00:00:0.614 , 0.006 , 0.00155 , 0.004 , 0.012 , 0 , 0.006 , -9.74E-6
29 , 100 , 10000 , Zeros , 1056768 , 00:00:0.629 , 0.006 , 0.00109 , 0.004 , 0.012 , 0 , 0.006 , -6.37E-6
30 , 100 , 10000 , Zeros , 1056768 , 00:00:1.044 , 0.01 , 0.0284 , 0.004 , 0.247 , 0 , 0.006 , 1.04E-4
31 , 100 , 10000 , Zeros , 1056768 , 00:00:0.632 , 0.006 , 0.00101 , 0.005 , 0.012 , 0 , 0.006 , 1.23E-6
32 , 100 , 10000 , Zeros , 1056768 , 00:00:0.645 , 0.006 , 0.00148 , 0.004 , 0.015 , 0 , 0.006 , -3.01E-6
33 , 100 , 10000 , Zeros , 1056768 , 00:00:0.608 , 0.006 , 8.88E-4 , 0.004 , 0.009 , 0 , 0.006 , 3.37E-6
34 , 100 , 10000 , Zeros , 1056768 , 00:00:0.608 , 0.006 , 0.00149 , 0.004 , 0.013 , 0 , 0.006 , -1.06E-5
35 , 100 , 10000 , Zeros , 1056768 , 00:00:0.613 , 0.006 , 8.65E-4 , 0.005 , 0.01 , 0 , 0.006 , 1.74E-5
36 , 100 , 10000 , Zeros , 1056768 , 00:00:0.58 , 0.006 , 0.00196 , 0.004 , 0.015 , 0 , 0.005 , -2.76E-6
37 , 100 , 10000 , Zeros , 1056768 , 00:00:0.58 , 0.006 , 8.41E-4 , 0.004 , 0.008 , 0 , 0.006 , 1.73E-5
38 , 100 , 10000 , Zeros , 1056768 , 00:00:0.923 , 0.009 , 0.029 , 0.004 , 0.296 , 0 , 0.006 , 1.0E-4
39 , 100 , 10000 , Zeros , 1056768 , 00:00:0.569 , 0.006 , 0.00107 , 0.004 , 0.01 , 0 , 0.006 , -1.17E-5
40 , 100 , 10000 , Zeros , 1056768 , 00:00:0.643 , 0.006 , 0.00142 , 0.005 , 0.014 , 0 , 0.006 , 2.31E-5
41 , 100 , 10000 , Zeros , 1056768 , 00:00:0.581 , 0.006 , 8.75E-4 , 0.004 , 0.008 , 0 , 0.006 , -9.11E-6
42 , 100 , 10000 , Zeros , 1056768 , 00:00:1.041 , 0.01 , 0.0302 , 0.004 , 0.256 , 0 , 0.006 , 9.69E-5
43 , 100 , 10000 , Zeros , 1056768 , 00:00:0.606 , 0.006 , 9.46E-4 , 0.005 , 0.01 , 0 , 0.006 , -1.11E-5
44 , 100 , 10000 , Zeros , 1056768 , 00:00:0.646 , 0.006 , 0.00167 , 0.004 , 0.013 , 0 , 0.006 , 3.52E-6
