Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 10000 , 1000 , Random , 13701120 , 00:1:21.087 , 0.008 , 0.00954 , 0.004 , 0.289 , 0 , 0.008 , 3.55E-7
2 , 10000 , 1000 , Random , 13701120 , 00:2:57.767 , 0.018 , 0.00889 , 0.009 , 0.215 , 0 , 0.018 , 1.02E-6
3 , 10000 , 1000 , Random , 13701120 , 00:2:59.141 , 0.018 , 0.00919 , 0.009 , 0.221 , 0 , 0.018 , 1.12E-6
4 , 10000 , 1000 , Random , 13701120 , 00:2:56.477 , 0.018 , 0.009 , 0.009 , 0.209 , 0 , 0.018 , 7.3E-7
5 , 10000 , 1000 , Random , 13701120 , 00:2:56.687 , 0.018 , 0.00845 , 0.01 , 0.301 , 0 , 0.018 , 1.0E-6
6 , 10000 , 1000 , Random , 13701120 , 00:2:55.656 , 0.018 , 0.0096 , 0.01 , 0.299 , 0 , 0.018 , 9.14E-7
7 , 10000 , 1000 , Random , 13701120 , 00:2:58.239 , 0.018 , 0.00941 , 0.01 , 0.26 , 0 , 0.019 , 9.65E-7
8 , 10000 , 1000 , Random , 13701120 , 00:2:59.461 , 0.018 , 0.00882 , 0.009 , 0.276 , 0 , 0.018 , 1.06E-6
9 , 10000 , 1000 , Random , 13701120 , 00:2:58.705 , 0.018 , 0.00822 , 0.008 , 0.19 , 0 , 0.018 , 6.41E-7
10 , 10000 , 1000 , Random , 13701120 , 00:2:50.115 , 0.017 , 0.00921 , 0.008 , 0.268 , 0 , 0.018 , 1.27E-6
11 , 10000 , 1000 , Random , 13701120 , 00:2:54.967 , 0.017 , 0.00903 , 0.008 , 0.218 , 0 , 0.018 , 9.66E-7
12 , 10000 , 1000 , Random , 13701120 , 00:2:56.399 , 0.018 , 0.00893 , 0.009 , 0.27 , 0 , 0.018 , 9.28E-7
13 , 10000 , 1000 , Random , 13701120 , 00:2:56.701 , 0.018 , 0.00896 , 0.008 , 0.288 , 0 , 0.018 , 6.01E-7
14 , 10000 , 1000 , Random , 13701120 , 00:2:59.003 , 0.018 , 0.00818 , 0.009 , 0.198 , 0 , 0.018 , 9.81E-7
15 , 10000 , 1000 , Random , 13701120 , 00:2:55.289 , 0.018 , 0.00902 , 0.008 , 0.204 , 0 , 0.018 , 9.73E-7
16 , 10000 , 1000 , Random , 13701120 , 00:2:57.188 , 0.018 , 0.0088 , 0.009 , 0.218 , 0 , 0.018 , 9.44E-7
17 , 10000 , 1000 , Random , 13701120 , 00:2:57.628 , 0.018 , 0.00916 , 0.01 , 0.197 , 0 , 0.018 , 1.02E-6
